MesAno;Regiao;Consumo;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);Estacao
2007-03;Sul;1275474,0;359,0;4143,4;956,0;23,412;7,752000000000001;2,1958333333333333;outono
2007-04;Centro-Oeste;596991,0;309,0;2428,2;959,375;25,015625;6,565625;1,615625;outono
2007-04;Nordeste;1244458,0;313,0;2622,0;975,6615384615385;24,907692307692308;6,517857142857143;2,3041666666666667;outono
2007-04;Norte;371967,0;123,0;1386,6;994,3833333333333;26,057142857142857;5,171428571428572;1,05;outono
2007-04;Sudeste;4223592,0;645,0;4810,4;952,4789473684211;22,922807017543857;7,136842105263158;1,9363636363636363;outono
2007-04;Sul;1291818,0;355,0;3194,8;959,7925925925927;21,159259259259258;7,97037037037037;2,311111111111111;outono
2007-05;Centro-Oeste;553266,0;167,0;1162,2;958,8;21,993548387096773;6,657575757575757;1,8866666666666667;outono
2007-05;Nordeste;1218867,0;275,0;1127,6;972,3434782608696;23,448;7,018518518518518;2,4761904761904763;outono
2007-05;Norte;371605,0;94,0;800,8000000000001;994,5;25,714285714285715;5,075;1,1500000000000001;outono
2007-05;Sudeste;4104316,0;553,0;2320,2;954,4982142857143;19,633333333333333;7,319298245614035;2,018867924528302;outono
2007-05;Sul;1243434,0;339,0;3627,2000000000003;960,92;15,7;7,84074074074074;2,496;outono
2007-06;Centro-Oeste;536836,0;47,0;48,2;955,8944444444444;22,019444444444446;6,1674999999999995;1,7722222222222224;inverno
2007-06;Nordeste;1205705,0;427,0;2333,4;976,7805555555556;22,774285714285714;6,863636363636363;2,521875;inverno
